"left","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","sales","salary"
"1",0.7053,0.8034,9,275,6,0,0,"sales","low"
"0",0.4535,0.4843,9,275,4,0,0,"IT","low"
"1",0.3056,0.6243,9,293,6,0,0,"IT","low"
"0",0.5913,0.7118,11,323,4,0,0,"technical","low"
"0",0.8116,0.865,8,301,5,0,0,"technical","high"
"1",0.5205,0.2564,8,154,4,0,0,"product_mng","low"
"0",0.5781,0.3535,8,235,7,0,0,"hr","low"
"0",0.8329,0.7247,13,192,4,0,0,"technical","low"
"0",0.8515,0.6059,7,259,9,1,1,"hr","medium"
"1",0.2319,0.1053,5,160,4,0,0,"sales","medium"
"0",0.5714,0.6041,9,163,3,0,0,"management","medium"
"1",0.7355,0.5909,6,328,6,0,0,"IT","medium"
"0",0.713,0.7553,9,168,6,0,0,"IT","low"
"0",0.4399,0.2314,6,230,6,1,0,"product_mng","low"
"0",0.5324,0.6348,9,244,6,0,0,"support","low"
"0",0.7583,0.4943,7,294,4,0,0,"support","low"
"0",0.91,0.7767,6,297,3,0,0,"IT","low"
"0",0.7706,0.2247,11,172,5,0,0,"product_mng","high"
"0",0.8806,0.7679,9,309,5,0,0,"sales","low"
"0",0.2598,0.6692,9,282,8,0,0,"sales","medium"
"0",0.7167,0.6827,5,267,14,0,0,"management","high"
"0",0.3052,0.5504,10,261,6,0,0,"technical","low"
"0",0.56,0.6896,10,333,4,0,0,"accounting","low"
"0",0.8002,0.497,11,278,4,0,0,"technical","medium"
"0",0.465,0.3297,6,150,6,1,0,"RandD","low"
"0",0.4334,0.0722,11,152,4,1,0,"marketing","low"
"0",0.844,0.608,9,234,6,0,0,"IT","medium"
"0",0.7911,0.0663,8,260,6,0,0,"sales","high"
"0",0.845,0.6136,13,194,2,0,0,"RandD","low"
"0",0.5659,0.85,10,184,7,0,0,"support","high"
"0",0.5181,0.0982,6,152,4,0,0,"sales","medium"
"0",0.4927,0.1894,8,195,5,0,0,"support","high"
"0",0.7038,0.7794,9,277,5,0,1,"sales","medium"
"0",0.5375,0.2336,14,186,5,0,0,"management","medium"
"0",0.6528,0.6915,5,264,6,0,0,"hr","medium"
"0",0.6535,0.2209,6,288,5,0,0,"management","high"
"0",0.5934,0.544,6,286,5,0,0,"RandD","medium"
"0",0.3958,0.4805,5,256,8,0,1,"management","medium"
"0",0.2923,0.6764,9,252,4,0,0,"sales","medium"
"0",0.5827,0.5757,7,319,8,0,0,"support","medium"
"1",0.617,0.5944,7,248,9,0,0,"sales","low"
"0",0.6528,0.3299,10,277,3,0,0,"product_mng","medium"
"0",0.4997,0.4859,6,181,2,0,0,"technical","low"
"0",0.7298,0.6267,9,258,6,0,0,"IT","high"
"0",0.5837,0.4126,8,218,7,0,0,"support","high"
"0",0.5115,0.448,11,166,4,0,0,"sales","low"
"0",0.3127,0.2677,10,232,7,1,0,"RandD","medium"
"0",0.7235,0.6667,6,271,4,0,0,"technical","low"
"0",0.19,0.5929,7,299,2,0,0,"sales","high"
"0",0.6338,0.3301,6,158,5,1,0,"accounting","medium"
"0",0.5499,0.0287,6,174,9,0,0,"management","high"
"1",0.383,0.3054,8,155,5,1,0,"product_mng","low"
"0",0.5645,0.3793,6,206,5,0,0,"technical","low"
"0",0.6157,0.4187,5,278,7,0,0,"RandD","medium"
"0",0.6558,0.9398,8,204,4,0,0,"product_mng","low"
"0",0.496,0.3998,7,273,4,0,0,"support","low"
"0",0.5665,0.7503,9,241,4,0,0,"sales","low"
"1",0.5528,0.4223,6,179,6,0,0,"sales","low"
"1",0.6775,0.6619,10,310,8,0,0,"sales","low"
"0",0.6107,0.2695,5,217,8,0,0,"technical","medium"
"0",0.5471,0.8675,12,114,7,0,0,"sales","low"
"1",0.007,0.7278,10,362,8,0,0,"sales","medium"
"0",0.7042,0.8914,9,300,4,0,0,"technical","low"
"0",0.6877,0.6278,7,284,10,0,0,"sales","medium"
"1",0.7324,0.8311,6,256,8,0,0,"technical","low"
"0",0.5086,0.6087,10,194,5,0,0,"sales","medium"
"0",0.6541,0.8236,10,285,3,0,0,"sales","low"
"0",0.5835,0.479,11,292,4,0,0,"technical","low"
"0",0.1951,0.685,10,210,2,0,0,"technical","low"
"0",0.6336,0.6995,7,275,4,1,0,"sales","low"
"1",0.2307,0.5601,12,254,5,0,0,"hr","medium"
